编号,钢厂,日期,时间,铜板,类型,Vx,Vy,Vc,Sticking_Expansion,Height,Width,Area,Edgenum,Gave,Fourier,,
119,南钢,2016/2/8,00:51:59,外弧宽面Tv,稳态,0.056,0.869,0.55,0.254,3.995,32.32,88.26,117,0.579,0.269,,
120,南钢,2016/2/8,00:52:01,内弧宽面Tv,稳态,0.226,1.471,0.56,-37.245,5.875,24.518,73.332,102,0.434,0.651,,
121,南钢,2016/2/8,00:52:09,外弧宽面Tv,稳态,0.451,-1.538,0.63,0.43,14.335,68.54,559.811,321,0.783,0.656,,
122,南钢,2016/2/8,00:52:10,内弧宽面Tv,稳态,0.62,0.535,0.64,-4.086,19.27,119.805,1470.567,575,0.785,0.283,,
123,南钢,2016/2/8,00:52:15,外弧宽面Tv,稳态,0.085,0.067,0.68,0.326,4.465,25.076,94.939,105,0.526,0.269,,
124,南钢,2016/2/8,00:52:20,内弧宽面Tv,误报,0.141,0,0.72,0.238,20.21,155.468,2009.294,659,0.98,0.163,,
125,南钢,2016/2/8,00:52:26,外弧宽面Tv,稳态,0.79,0.334,0.77,-43.737,15.04,18.389,219.996,144,0.39,0.13,,
126,南钢,2016/2/8,00:54:13,内弧宽面Tv,稳态,0.085,0.669,0.47,0.042,4.465,21.732,66.915,86,0.424,0.474,,
127,南钢,2016/2/8,00:54:14,外弧宽面Tv,稳态,0.141,-1.337,0.47,-0.733,6.58,15.603,61.939,84,0.334,1.641,,
128,南钢,2016/2/8,00:54:21,外弧宽面Tv,稳态,0.113,0.869,0.53,-0.024,4.465,16.717,53.558,73,0.349,0.852,,
129,南钢,2016/2/8,00:54:30,外弧宽面Tv,稳态,0.113,-1.538,0.61,0.707,10.105,54.609,386.695,238,0.446,0.282,,
130,南钢,2016/2/8,00:54:30,内弧宽面Tv,稳态,0.254,-0.201,0.61,1.044,9.87,25.076,206.77,142,0.455,1.23,,
131,南钢,2016/2/8,00:54:35,内弧宽面Tv,稳态,0.197,0.201,0.65,0.705,23.5,130.958,1519.895,645,0.417,0.539,,
132,南钢,2016/2/8,00:54:42,内弧宽面Tv,稳态,0.226,-0.869,0.71,-0.144,22.56,96.959,1373.14,463,0.426,0.315,,
133,南钢,2016/2/8,00:55:03,外弧宽面Tv,误报,0.226,0.802,0.88,0.17,23.5,141.537,2041.115,702,0.685,0.326,,
134,南钢,2016/2/8,00:56:17,内弧宽面Tv,稳态,0.31,0.267,0.4,0.311,13.63,40.678,257.971,209,0.444,0.932,,
135,南钢,2016/2/8,00:56:24,外弧宽面Tv,稳态,0.508,1.672,0.45,1.09,18.565,59.624,551.823,329,0.485,0.643,,
136,南钢,2016/2/8,00:56:24,内弧宽面Tv,稳态,0.395,0,0.45,0.175,20.21,30.091,461.467,219,0.601,0.47,,
137,南钢,2016/2/8,00:56:39,内弧宽面Tv,稳态,0.818,-1.27,0.57,0.452,23.5,27.862,416.813,259,0.457,0.342,,
138,南钢,2016/2/8,00:56:39,外弧宽面Tv,漏钢,0.169,1.471,0.57,1.113,13.63,54.052,346.231,223,0.515,1.312,,
139,南钢,2016/2/8,00:57:06,内弧宽面Tv,稳态,0.254,1.471,0.8,-0.715,19.27,33.436,520.557,219,0.525,0.325,,
140,南钢,2016/2/8,00:57:10,内弧宽面Tv,稳态,0.902,-0.267,0.82,-59.729,18.095,17.831,193.675,178,0.398,0.175,,
