编号,钢厂,日期,时间,铜板,类型,Vx,Vy,Vc,Sticking_Expansion,Height,Width,Area,Edgenum,Gave,Fourier,,
751,南钢,2019/10/11,00:14:21,外弧宽面Tv,稳态,0.028,-2.189,0.75,-250.326,3.76,13.899,39.604,48,0.364,2.151,,
752,南钢,2019/10/11,00:14:40,内弧宽面Tv,稳态,0.677,-1.876,0.75,-48.605,16.45,15.636,204.341,157,0.405,0.128,,
753,南钢,2019/10/11,00:15:10,外弧宽面Tv,误报,0.987,2.085,0.75,1.724,17.155,35.614,277.003,173,0.473,0.226,,
754,南钢,2019/10/12,01:35:46,内弧宽面Tv,漏钢,0.169,0.104,0.85,0.184,23.265,50.383,711.416,256,0.68,0.498,,
755,南钢,2019/10/19,21:16:52,内弧宽面Tv,稳态,0.113,1.042,0.34,-18.951,20.68,27.798,477.902,194,0.565,0.128,,
756,南钢,2019/10/19,21:17:01,外弧宽面Tv,稳态,0.395,0.417,0.4,0.878,20.445,31.273,561.806,210,0.62,0.155,,
757,南钢,2019/10/19,21:17:25,外弧宽面Tv,误报,0.31,-1.147,0.4,-1.969,23.5,259.741,2743.294,1210,0.573,0.444,,
758,南钢,2019/10/23,19:40:10,内弧宽面Tv,漏钢,-0.141,-0.625,0.75,0.118,23.5,74.705,992.104,319,0.87,0.96,,
759,南钢,2019/10/28,22:50:25,内弧宽面Tv,漏钢,0.169,2.183,0.55,0.931,6.11,52.475,139.43,168,0.367,0.324,,
760,南钢,2019/10/30,16:04:54,内弧宽面Tv,漏钢,0.113,-0.42,1.05,0.531,11.28,41.28,275.735,167,0.692,1.317,,
761,南钢,2019/10/31,05:05:08,外弧宽面Tv,稳态,0.028,-0.336,0,-0.128,5.17,35.681,125.119,111,0.54,0.439,,
762,南钢,2019/10/31,05:05:14,内弧宽面Tv,稳态,0.028,-1.259,0,1.334,8.93,190.3,1097.627,565,0.779,0.112,,
763,南钢,2019/10/31,05:05:31,外弧宽面Tv,误报,0.564,1.763,0.2,-47.171,16.92,21.689,203.051,160,0.376,0.194,,
764,南钢,2019/10/31,12:36:48,内弧宽面Tv,稳态,0.141,0.344,0.7,0.444,18.565,62.566,684.837,365,0.46,0.946,,
765,南钢,2019/10/31,12:37:02,内弧宽面Tv,稳态,0.62,1.033,0.7,1.572,15.275,21.812,196.939,163,0.402,0.37,,
766,南钢,2019/10/31,12:37:40,内弧宽面Tv,误报,0.423,1.102,0.7,0.48,23.5,59.696,903.493,343,0.558,1.283,,
767,南钢,2019/11/4,18:15:27,外弧宽面Tv,漏钢,0.649,-0.756,0.95,0.665,19.27,32.185,275.571,201,0.472,0.256,,
768,南钢,2019/12/12,01:12:22,内弧宽面Tv,稳态,0.085,-1.655,0,-139.89,4.7,22.407,70.478,67,0.451,1.908,,
769,南钢,2019/12/12,01:12:27,内弧宽面Tv,稳态,0.367,-0.31,0,-2.864,11.28,258.54,2045.482,661,0.927,0.08,,
770,南钢,2019/12/12,01:12:47,内弧宽面Tv,误报,0.592,0.517,0.2,-0.956,19.035,53.432,650.301,213,0.398,0.402,,
771,南钢,2019/12/17,13:57:03,内弧宽面Tv,稳态,0.028,0.208,0.7,0.363,5.875,23.361,102.072,80,0.447,3.476,,
772,南钢,2019/12/17,13:57:13,内弧宽面Tv,漏钢,0.705,-1.038,0.7,0.838,20.915,41.531,397.713,214,0.462,0.244,,
773,南钢,2019/12/17,13:57:37,外弧宽面Tv,稳态,0.254,0.519,0.7,1.173,6.58,29.418,148.431,97,0.513,1.621,,
774,南钢,2019/12/22,19:03:56,内弧宽面Tv,稳态,0.113,0,0.2,0.392,13.395,260.59,2607.338,662,1.112,0.101,,
775,南钢,2019/12/22,19:04:03,外弧宽面Tv,稳态,0.028,-0.521,0.2,0.037,13.63,260.59,2675.517,678,1.556,0.098,,
776,南钢,2019/12/22,19:04:11,内弧宽面Tv,误报,0.113,0.834,0.2,-0.218,23.5,255.388,2643.57,1016,0.521,0.65,,
777,南钢,2019/12/24,07:07:31,外弧宽面Tv,稳态,0.226,-0.775,0.3,1.918,5.17,107.037,468.813,251,0.7,0.073,,
778,南钢,2019/12/24,07:07:34,内弧宽面Tv,稳态,0.056,-0.221,0.3,0.678,5.17,29.526,112.754,82,0.428,0.906,,
779,南钢,2019/12/24,07:07:49,外弧宽面Tv,误报,0.367,2.104,0.3,0.133,11.28,35.064,308.35,137,0.447,0.517,,
780,南钢,2020/2/3,10:39:02,右侧窄面Tv,稳态,0.113,0,0.85,0.277,3.29,8.45,19.705,40,0.342,2.928,,
781,南钢,2020/2/3,10:39:36,外弧宽面Tv,漏钢,0.649,-0.207,0.85,0.853,21.855,70.81,833.029,301,0.941,1.336,,
782,南钢,2020/2/6,08:16:14,内弧宽面Tv,漏钢,0.592,-1.564,0.6,1.198,21.62,79.917,844.718,330,0.612,4.152,,
783,南钢,2020/2/7,03:14:30,外弧宽面Tv,漏钢,0.733,2.809,0.6,1.052,23.5,97.372,1310.455,387,0.613,18.139,,
784,南钢,2020/2/16,06:04:54,右侧窄面Tv,稳态,0.085,-0.156,0.02,0.311,8.93,26,209.726,135,0.635,1.613,,
785,南钢,2020/2/16,06:05:03,外弧宽面Tv,稳态,0.085,0.624,0.2,-0.121,16.92,241.007,1897.739,716,0.654,0.222,,
786,南钢,2020/2/16,06:05:14,内弧宽面Tv,误报,0.338,-2.185,0.2,-0.91,21.855,41.613,510.342,225,0.399,0.289,,
787,南钢,2020/3/4,13:06:24,外弧宽面Tv,稳态,0.141,2.393,0,-0.923,23.5,182.049,3397.667,552,0.875,0.302,,
788,南钢,2020/3/4,13:06:27,内弧宽面Tv,误报,0.028,-0.208,0,-0.094,23.5,259.203,5119.318,855,0.835,0.191,,
789,南钢,2020/3/4,13:06:37,右侧窄面Tv,稳态,0.197,0.312,0,1.206,8.46,7.15,45.825,81,0.492,0.191,,
